"Energy, MeV","Sigma(E), MeV","E_gap, MeV","Sigma(E_gap), MeV"
500.0,0.0,17.376115744626667,0.1917003464164999
1000.0,0.0,37.73964291950872,0.27075286629316864
2000.0,0.0,77.40866854292638,0.40814760605770317
3000.0,0.0,117.77895233966912,0.48960228833707475
4000.0,0.0,157.74974803273278,0.5838605848817053
5000.0,0.0,199.92332041061303,0.6522703311636207
6000.0,0.0,239.54333299637614,0.6985245247086169
7000.0,0.0,280.3888859395237,0.7333845568700781
8000.0,0.0,318.2971671970379,0.769299035424666
9000.0,0.0,359.9313533758165,0.8362989021628948
10000.0,0.0,398.18034443952524,0.8880644911765501
